Connected to the server
Starting a file upload...
received ACK(0)from the server('127.0.0.1', 4000).
received ACK(1)from the server('127.0.0.1', 4000).
received ACK(2)from the server('127.0.0.1', 4000).
received ACK(3)from the server('127.0.0.1', 4000).
received ACK(4)from the server('127.0.0.1', 4000).
received ACK(5)from the server('127.0.0.1', 4000).
received ACK(6)from the server('127.0.0.1', 4000).
received ACK(7)from the server('127.0.0.1', 4000).
received ACK(8)from the server('127.0.0.1', 4000).
received ACK(9)from the server('127.0.0.1', 4000).
received ACK(10)from the server('127.0.0.1', 4000).
received ACK(11)from the server('127.0.0.1', 4000).
received ACK(12)from the server('127.0.0.1', 4000).
received ACK(13)from the server('127.0.0.1', 4000).
received ACK(14)from the server('127.0.0.1', 4000).
received ACK(15)from the server('127.0.0.1', 4000).
received ACK(16)from the server('127.0.0.1', 4000).
received ACK(17)from the server('127.0.0.1', 4000).
received ACK(18)from the server('127.0.0.1', 4000).
received ACK(19)from the server('127.0.0.1', 4000).
received ACK(20)from the server('127.0.0.1', 4000).
received ACK(21)from the server('127.0.0.1', 4000).
received ACK(22)from the server('127.0.0.1', 4000).
received ACK(23)from the server('127.0.0.1', 4000).
received ACK(24)from the server('127.0.0.1', 4000).
received ACK(25)from the server('127.0.0.1', 4000).
received ACK(26)from the server('127.0.0.1', 4000).
received ACK(27)from the server('127.0.0.1', 4000).
received ACK(28)from the server('127.0.0.1', 4000).
received ACK(29)from the server('127.0.0.1', 4000).
received ACK(30)from the server('127.0.0.1', 4000).
received ACK(31)from the server('127.0.0.1', 4000).
received ACK(32)from the server('127.0.0.1', 4000).
received ACK(33)from the server('127.0.0.1', 4000).
received ACK(34)from the server('127.0.0.1', 4000).
received ACK(35)from the server('127.0.0.1', 4000).
received ACK(36)from the server('127.0.0.1', 4000).
received ACK(37)from the server('127.0.0.1', 4000).
received ACK(38)from the server('127.0.0.1', 4000).
received ACK(39)from the server('127.0.0.1', 4000).
received ACK(40)from the server('127.0.0.1', 4000).
received ACK(41)from the server('127.0.0.1', 4000).
received ACK(42)from the server('127.0.0.1', 4000).
received ACK(43)from the server('127.0.0.1', 4000).
received ACK(44)from the server('127.0.0.1', 4000).
received ACK(45)from the server('127.0.0.1', 4000).
received ACK(46)from the server('127.0.0.1', 4000).
received ACK(47)from the server('127.0.0.1', 4000).
received ACK(48)from the server('127.0.0.1', 4000).
received ACK(49)from the server('127.0.0.1', 4000).
received ACK(50)from the server('127.0.0.1', 4000).
received ACK(51)from the server('127.0.0.1', 4000).
received ACK(52)from the server('127.0.0.1', 4000).
received ACK(53)from the server('127.0.0.1', 4000).
received ACK(54)from the server('127.0.0.1', 4000).
received ACK(55)from the server('127.0.0.1', 4000).
received ACK(56)from the server('127.0.0.1', 4000).
received ACK(57)from the server('127.0.0.1', 4000).
received ACK(58)from the server('127.0.0.1', 4000).
received ACK(59)from the server('127.0.0.1', 4000).
received ACK(60)from the server('127.0.0.1', 4000).
received ACK(61)from the server('127.0.0.1', 4000).
received ACK(62)from the server('127.0.0.1', 4000).
received ACK(63)from the server('127.0.0.1', 4000).
received ACK(64)from the server('127.0.0.1', 4000).
received ACK(65)from the server('127.0.0.1', 4000).
received ACK(66)from the server('127.0.0.1', 4000).
received ACK(67)from the server('127.0.0.1', 4000).
received ACK(68)from the server('127.0.0.1', 4000).
received ACK(69)from the server('127.0.0.1', 4000).
received ACK(70)from the server('127.0.0.1', 4000).
received ACK(71)from the server('127.0.0.1', 4000).
received ACK(72)from the server('127.0.0.1', 4000).
received ACK(73)from the server('127.0.0.1', 4000).
received ACK(74)from the server('127.0.0.1', 4000).
received ACK(75)from the server('127.0.0.1', 4000).
received ACK(76)from the server('127.0.0.1', 4000).
received ACK(77)from the server('127.0.0.1', 4000).
received ACK(78)from the server('127.0.0.1', 4000).
received ACK(79)from the server('127.0.0.1', 4000).
received ACK(80)from the server('127.0.0.1', 4000).
received ACK(81)from the server('127.0.0.1', 4000).
received ACK(82)from the server('127.0.0.1', 4000).
received ACK(83)from the server('127.0.0.1', 4000).
received ACK(84)from the server('127.0.0.1', 4000).
received ACK(85)from the server('127.0.0.1', 4000).
received ACK(86)from the server('127.0.0.1', 4000).
received ACK(87)from the server('127.0.0.1', 4000).
received ACK(88)from the server('127.0.0.1', 4000).
received ACK(89)from the server('127.0.0.1', 4000).
received ACK(90)from the server('127.0.0.1', 4000).
received ACK(91)from the server('127.0.0.1', 4000).
received ACK(92)from the server('127.0.0.1', 4000).
received ACK(93)from the server('127.0.0.1', 4000).
received ACK(94)from the server('127.0.0.1', 4000).
received ACK(95)from the server('127.0.0.1', 4000).
received ACK(96)from the server('127.0.0.1', 4000).
received ACK(97)from the server('127.0.0.1', 4000).
received ACK(98)from the server('127.0.0.1', 4000).
received ACK(99)from the server('127.0.0.1', 4000).
received ACK(100)from the server('127.0.0.1', 4000).
received ACK(101)from the server('127.0.0.1', 4000).
received ACK(102)from the server('127.0.0.1', 4000).
received ACK(103)from the server('127.0.0.1', 4000).
received ACK(104)from the server('127.0.0.1', 4000).
received ACK(105)from the server('127.0.0.1', 4000).
received ACK(106)from the server('127.0.0.1', 4000).
received ACK(107)from the server('127.0.0.1', 4000).
received ACK(108)from the server('127.0.0.1', 4000).
received ACK(109)from the server('127.0.0.1', 4000).
received ACK(110)from the server('127.0.0.1', 4000).
received ACK(111)from the server('127.0.0.1', 4000).
received ACK(112)from the server('127.0.0.1', 4000).
received ACK(113)from the server('127.0.0.1', 4000).
received ACK(114)from the server('127.0.0.1', 4000).
received ACK(115)from the server('127.0.0.1', 4000).
received ACK(116)from the server('127.0.0.1', 4000).
received ACK(117)from the server('127.0.0.1', 4000).
received ACK(118)from the server('127.0.0.1', 4000).
received ACK(119)from the server('127.0.0.1', 4000).
received ACK(120)from the server('127.0.0.1', 4000).
received ACK(121)from the server('127.0.0.1', 4000).
received ACK(122)from the server('127.0.0.1', 4000).
received ACK(123)from the server('127.0.0.1', 4000).
received ACK(124)from the server('127.0.0.1', 4000).
received ACK(125)from the server('127.0.0.1', 4000).
received ACK(126)from the server('127.0.0.1', 4000).
received ACK(127)from the server('127.0.0.1', 4000).
received ACK(128)from the server('127.0.0.1', 4000).
received ACK(129)from the server('127.0.0.1', 4000).
received ACK(130)from the server('127.0.0.1', 4000).
received ACK(131)from the server('127.0.0.1', 4000).
received ACK(132)from the server('127.0.0.1', 4000).
received ACK(133)from the server('127.0.0.1', 4000).
received ACK(134)from the server('127.0.0.1', 4000).
received ACK(135)from the server('127.0.0.1', 4000).
received ACK(136)from the server('127.0.0.1', 4000).
received ACK(137)from the server('127.0.0.1', 4000).
received ACK(138)from the server('127.0.0.1', 4000).
received ACK(139)from the server('127.0.0.1', 4000).
received ACK(140)from the server('127.0.0.1', 4000).
received ACK(141)from the server('127.0.0.1', 4000).
received ACK(142)from the server('127.0.0.1', 4000).
received ACK(143)from the server('127.0.0.1', 4000).
received ACK(144)from the server('127.0.0.1', 4000).
received ACK(145)from the server('127.0.0.1', 4000).
received ACK(146)from the server('127.0.0.1', 4000).
received ACK(147)from the server('127.0.0.1', 4000).
received ACK(148)from the server('127.0.0.1', 4000).
received ACK(149)from the server('127.0.0.1', 4000).
received ACK(150)from the server('127.0.0.1', 4000).
received ACK(151)from the server('127.0.0.1', 4000).
received ACK(152)from the server('127.0.0.1', 4000).
received ACK(153)from the server('127.0.0.1', 4000).
received ACK(154)from the server('127.0.0.1', 4000).
received ACK(155)from the server('127.0.0.1', 4000).
received ACK(156)from the server('127.0.0.1', 4000).
received ACK(157)from the server('127.0.0.1', 4000).
received ACK(158)from the server('127.0.0.1', 4000).
received ACK(159)from the server('127.0.0.1', 4000).
received ACK(160)from the server('127.0.0.1', 4000).
received ACK(161)from the server('127.0.0.1', 4000).
received ACK(162)from the server('127.0.0.1', 4000).
received ACK(163)from the server('127.0.0.1', 4000).
received ACK(164)from the server('127.0.0.1', 4000).
received ACK(165)from the server('127.0.0.1', 4000).
received ACK(166)from the server('127.0.0.1', 4000).
